Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF2LLCA,2017.12,4244.373,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2018.03,3919.556,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2018.06,4239.028,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2018.09,4336.773,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2018.12,4788.088,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2019.03,4337.574,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2019.06,4499.564,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2019.09,4624.867,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2019.12,5075.438,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2020.03,4279.018,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2020.06,3501.964,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2020.09,4316.113,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2020.12,4880.191,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2021.03,4666.301,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2021.06,5017.399,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2021.09,4937.825,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2021.12,5523.098,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2022.03,4893.7,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2022.06,5300.058,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2022.09,5320.782,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2022.12,5417.713,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
BDCQ.SF2LLCA,2023.03,4885.192,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Rental, Hiring and Real Estate Services",Current,Unadjusted,
